signal_family,horizon_candles,horizon_hours,outer_fold,selected_signal_spec_id,selected_pipeline_id,model_family,window_scheme,regime_conditioned,parameters_json,mean_inner_incremental_log_loss,positive_inner_folds,inner_standard_error,calibration_not_dominated
rsi,1,4,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",0.0023124702964548716,2,0.002514175572352517,True
bollinger,1,4,1,bollinger-p10-k2-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",0.002693113731286889,1,0.00340309086022882,True
rsi,1,4,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",0.0011337089991010352,3,0.0001036821047495753,True
bollinger,1,4,2,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",0.003745410997915329,3,0.0008943264371473564,True
rsi,1,4,3,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",0.0017966913541786662,3,0.0010556974416063268,True
bollinger,1,4,3,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",0.0036795639307443486,3,0.0014495597316859675,True
rsi,1,4,4,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",0.00056084604669319,2,0.0004590290275293975,True
bollinger,1,4,4,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,True,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100, ""window_observations"": 2190}",0.0032559951955400588,3,0.0015061482384873166,True
rsi,1,4,5,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",0.0028046501807282485,3,0.0019105065497190237,True
bollinger,1,4,5,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",0.004019059211942122,2,0.00354907156861782,True
rsi,2,8,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",-0.0012088993269380548,1,0.001527533896385125,True
bollinger,2,8,1,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",-0.0009150318352432926,1,0.002609409252567806,False
rsi,2,8,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100, ""window_observations"": 2190}",0.0009692005906726253,1,0.002974612262296605,True
bollinger,2,8,2,bollinger-p20-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""window_observations"": 2190}",-0.0006372114555366718,0,0.0004738123934969998,True
rsi,2,8,3,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",0.003580216236894307,3,0.002931095471256288,True
bollinger,2,8,3,bollinger-p20-k2.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",0.002809905024787137,1,0.004685273768730766,True
rsi,2,8,4,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations4380-rolling_two_year-softstate,shallow_hist_gradient_boosting,rolling_two_year,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""window_observations"": 4380}",8.213242058674464e-05,1,0.0005357387775617959,True
bollinger,2,8,4,bollinger-p40-k1.5-continuation,regularized_linear-C0p1-window_observations4380-rolling_two_year-unconditioned,regularized_linear,rolling_two_year,False,"{""C"": 0.1, ""window_observations"": 4380}",-0.0009006123554037293,1,0.0013387840460814613,True
rsi,2,8,5,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""window_observations"": 2190}",0.002578075269170532,3,0.0012721319530599236,True
bollinger,2,8,5,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",-0.00021483727890551455,1,0.00047814092093163455,True
rsi,3,12,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",0.004262630432033787,2,0.006007603583934261,True
bollinger,3,12,1,bollinger-p10-k2-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",-0.009305500924408405,1,0.008056861080239707,False
rsi,3,12,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",7.527906898937194e-05,2,0.003573423825092938,True
bollinger,3,12,2,bollinger-p20-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",0.0035125035804619564,2,0.007608032893025382,True
rsi,3,12,3,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100, ""window_observations"": 2190}",-0.0004399783994305517,2,0.0039252410362861445,True
bollinger,3,12,3,bollinger-p10-k2.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",-0.001814400248409842,2,0.0048648338016865035,True
rsi,3,12,4,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",0.005206429686984482,2,0.003535018069650399,True
bollinger,3,12,4,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-window_observations4380-rolling_two_year-softstate,shallow_hist_gradient_boosting,rolling_two_year,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""window_observations"": 4380}",0.0037504845597353675,2,0.0029593724990164792,True
rsi,3,12,5,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",0.0039239576566237515,1,0.005219732501745641,True
bollinger,3,12,5,bollinger-p40-k2.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",0.0004746944513666085,2,0.006354771612991033,True
rsi,6,24,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",0.02585187986992099,3,0.013081687604786606,True
bollinger,6,24,1,bollinger-p20-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",0.011372767399061382,1,0.02587696759439444,True
rsi,6,24,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",0.0058781675137599505,2,0.005026247785057601,True
bollinger,6,24,2,bollinger-p20-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100, ""window_observations"": 2190}",0.005811549689333136,2,0.015584553641860078,True
rsi,6,24,3,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""window_observations"": 2190}",0.0035198895973807356,2,0.004752702676554547,True
bollinger,6,24,3,bollinger-p20-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,False,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100, ""window_observations"": 2190}",-0.009810695446313336,0,0.003907483544915976,False
rsi,6,24,4,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations4380-rolling_two_year-unconditioned,shallow_hist_gradient_boosting,rolling_two_year,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100, ""window_observations"": 4380}",0.0031225212941348537,2,0.01063116263265211,True
bollinger,6,24,4,bollinger-p40-k1.5-continuation,regularized_linear-C0p1-window_observations4380-rolling_two_year-softstate,regularized_linear,rolling_two_year,True,"{""C"": 0.1, ""window_observations"": 4380}",0.0006758679089121644,2,0.005748085001667286,True
rsi,6,24,5,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter200-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",0.008686547208686815,3,0.005984979966875277,True
bollinger,6,24,5,bollinger-p40-k1.5-continuation,regularized_linear-C0p1-window_observations4380-rolling_two_year-unconditioned,regularized_linear,rolling_two_year,False,"{""C"": 0.1, ""window_observations"": 4380}",-0.005621911917257767,0,0.005329595841553483,False
